country_code,country_name,lens1_displacement_velocity,lens1_absorption_capacity,lens1_ratio,lens1_corridor,lens2_demographic_load,lens2_retirement_offset,lens2_overlap_score,combined_corridor_v1,confidence,notes
AT,Austria,0.5203,0.225,2.312,2,-0.00377,0.216,0.2,2,high,retirement<50% — demographic buffer thesis fails
BE,Belgium,0.5414,0.325,1.666,2,-0.005,0.234,0.25,2,low,tier:moderate_decline; eu27-baseline+tier:moderate_decline; retirement<50% — demographic buffer thesis fails
BG,Bulgaria,0.4829,0.175,2.76,2,-0.0085,0.264,0.2,2,low,tier:sharpest_decline; eu27-baseline+tier:sharpest_decline; retirement<50% — demographic buffer thesis fails
CY,Cyprus,0.5056,0.175,2.889,2,-0.004,0.224,0.2,2,low,L4 unassigned-tier proxy; eu27-baseline; flagged as sparse data per spec; retirement<50% — demographic buffer thesis fails
CZ,Czechia,0.4915,0.175,2.808,2,-0.006,0.224,0.2,2,low,L4 unassigned-tier proxy; eu27-baseline; retirement<50% — demographic buffer thesis fails
DE,Germany,0.5415,0.225,2.407,2,-0.00704,0.246,0.2,2,high,retirement<50% — demographic buffer thesis fails
DK,Denmark,0.5244,0.5,1.049,1,-0.005,0.224,0.4,1,low,eu27-baseline; retirement<50% — demographic buffer thesis fails
EE,Estonia,0.5078,0.175,2.902,2,-0.008,0.224,0.2,2,low,L4 unassigned-tier proxy; eu27-baseline; retirement<50% — demographic buffer thesis fails
EL,Greece,0.4957,0.175,2.833,2,-0.0085,0.264,0.2,2,low,tier:sharpest_decline; eu27-baseline+tier:sharpest_decline; retirement<50% — demographic buffer thesis fails
ES,Spain,0.4821,0.175,2.755,2,-0.00189,0.233,0.2,2,high,retirement<50% — demographic buffer thesis fails
FI,Finland,0.5018,0.5,1.004,1,-0.005,0.234,0.4,1,low,tier:moderate_decline; eu27-baseline+tier:moderate_decline; retirement<50% — demographic buffer thesis fails
FR,France,0.5174,0.325,1.592,2,-0.00269,0.21,0.25,2,high,retirement<50% — demographic buffer thesis fails
HR,Croatia,0.5053,0.175,2.887,2,-0.0085,0.264,0.2,2,low,tier:sharpest_decline; eu27-baseline+tier:sharpest_decline; retirement<50% — demographic buffer thesis fails
HU,Hungary,0.4935,0.175,2.82,2,-0.007,0.224,0.2,2,low,L4 unassigned-tier proxy; eu27-baseline; retirement<50% — demographic buffer thesis fails
IE,Ireland,0.5329,0.16,3.33,3,-0.002,0.204,0.25,3,low,tier:relative_resilience; eu27-baseline+tier:relative_resilience; retirement<50% — demographic buffer thesis fails
IT,Italy,0.497,0.175,2.84,2,-0.0068,0.253,0.2,2,high,retirement<50% — demographic buffer thesis fails
LT,Lithuania,0.5021,0.175,2.869,2,-0.0085,0.264,0.2,2,low,tier:sharpest_decline; eu27-baseline+tier:sharpest_decline; retirement<50% — demographic buffer thesis fails
LU,Luxembourg,0.6199,0.325,1.907,2,-0.001,0.224,0.25,2,low,L4 unassigned-tier proxy; eu27-baseline; flagged as sparse data per spec; retirement<50% — demographic buffer thesis fails
LV,Latvia,0.4841,0.175,2.766,2,-0.0085,0.264,0.2,2,low,tier:sharpest_decline; eu27-baseline+tier:sharpest_decline; retirement<50% — demographic buffer thesis fails
MT,Malta,0.5093,0.175,2.91,2,-0.0085,0.264,0.2,2,low,tier:sharpest_decline; eu27-baseline+tier:sharpest_decline; flagged as sparse data per spec; retirement<50% — demographic buffer thesis fails
NL,Netherlands,0.5502,0.325,1.693,2,-0.00192,0.234,0.25,2,medium,eu27-baseline+tier:moderate_decline; retirement<50% — demographic buffer thesis fails
PL,Poland,0.5171,0.175,2.955,2,-0.0085,0.264,0.2,2,low,tier:sharpest_decline; eu27-baseline+tier:sharpest_decline; retirement<50% — demographic buffer thesis fails
PT,Portugal,0.5078,0.175,2.902,2,-0.0085,0.264,0.2,2,low,tier:sharpest_decline; eu27-baseline+tier:sharpest_decline; retirement<50% — demographic buffer thesis fails
RO,Romania,0.4308,0.175,2.462,2,-0.0085,0.264,0.2,2,low,tier:sharpest_decline; eu27-baseline+tier:sharpest_decline; retirement<50% — demographic buffer thesis fails
