term	standard_definition	einfache_definition
ALMP	Active Labour Market Policies — government-run training, retraining, and job-matching programs that help displaced workers re-enter employment.	Aktive Arbeits-Markt-Politik. Trainings- und Job-Vermittlungs-Programme der Regierungen.
Cascade	A chain reaction of institutional failures where one stress overwhelms a buffer that was meant to absorb the next stress.	Eine Kette von Problemen. Ein Problem führt zum nächsten.
Corridor	One of three risk bands (C1 Managed Transition, C2 Partial Absorption, C3 Displacement Without Absorption) defined by the Lens 1 displacement-velocity-to-absorption-capacity ratio.	Ein Risiko-Band. Wir haben 3 Korridore: C1 ist am sichersten, C3 am gefährlichsten.
Displacement	Loss of a job caused by a machine or method that performs the work more cheaply or efficiently than the worker did.	Wenn jemand seinen Job verliert, weil eine Maschine die Arbeit macht.
Fragility class	One of four country-level risk groups (I Robust, II Fragile, III Pre-Failure Risk, IV Currently Failing) that bracket where a market sits across all routine scenarios.	Eine Risiko-Gruppe für Länder. Wir haben 4 Klassen, von 1 (sicher) bis 4 (Krise).
Lens	One of five test dimensions used to score every country: displacement velocity, demographic buffer, distributional fold, polycrisis drag, jurisdictional buffering.	Eine Art, ein Land zu testen. Wir benutzen 5 Linsen.
MFF	The EU Multiannual Financial Framework — the 7-year EU budget that funds programs including labour-market support, cohesion, and crisis response.	Der 7-Jahres-Haushalt der EU.
NDLS	No Demonstrable Loss of Skill — a structural-displacement evidence framework (El-Sahli & Upward 2017) showing lifetime earnings deficits among displaced workers.	Forschung von 2017 zu langfristigen Einkommens-Verlusten nach Job-Verlust.
Post-growth empirical	An economic regime where aggregate output is no longer expanding, weakening the historical reinstatement mechanism (10 of 36 markets).	Eine Wirtschaft, die nicht mehr wächst.
Regime	One of three economic regimes (growth-baseline, secular-stagnation-warning, post-growth-empirical) that determines scenario probability mass.	Eine wirtschaftliche Lage. Wir haben 3 Regime.
Reinstatement effect	The historical pattern by which technological displacement triggers new jobs that re-employ displaced workers; weakening per Autor et al. QJE 2024.	Das historische Muster, dass neue Jobs alte ersetzen.
Robustness	The property of remaining in a safe corridor across scenario perturbations; tested under strict (±0) and softer (±1, no C3) rules.	Wenn ein Land unter Druck stabil bleibt.
Scenario	One of eight futures tested. Seven routine variants (S1 Reinstatement Revival, S2 Climate Adaptation Boom, S3 Jobs Transform, S4 Muddle Through, S5 Wage Cliff, S6 Reinstatement Failure, S7 Bandwidth Fracture) plus one conditional (S8 Polycrisis Drag) carried orthogonally.	Eine mögliche Zukunft. Wir haben 8 getestet.
Scale (aggregate / distributional / both)	A country tag noting whether AI exposure registers as aggregate (employment volume), distributional (within-country inequality), or both.	Ein Etikett, das zeigt: trifft KI viele Menschen oder einige stark?
Secular stagnation	A prolonged period of slow growth and weak labour-market dynamism (Greece and Italy in this analysis).	Eine lange Phase mit langsamem Wachstum.
Squeeze flag	A Lens 4 marker for Mode 1 jurisdictional buffering risk: high domestic worker protection adjacent to weak-protection neighbours, with capital-flow vulnerability. A capital-flight signal, not a labour-displacement signal.	Eine Warnung vor Kapital-Flucht. Anders als Verlust von Arbeit.
Structural bias	The error introduced when corridor thresholds are fitted to historical literature rather than to current theory; corrected in this analysis by re-anchoring the corridor edges to 1.20 / 2.80.	Wenn die Methode das Ergebnis verzerrt.
TAA	Trade Adjustment Assistance — a US program for workers displaced by trade; cited as comparator for European ALMP design choices.	Ein US-Programm für Arbeiter, die durch Handel ihren Job verlieren.
ESCO	European Skills, Competences, Qualifications and Occupations classification — Eurostat's occupational coding system used at 2-digit aggregation in the Klinger weighting.	Das EU-System, das Berufe und Fähigkeiten klassifiziert.
ISCO	International Standard Classification of Occupations — UN/ILO occupation coding system; used at 2-digit aggregation in Lens 5.	Das internationale System, das Berufe nummeriert.
Klinger coordination share	An occupational-level signal measuring how much a job's skills coordinate across many adjacent occupations; high coordination implies easier reskilling pathways.	Ein Maß dafür, wie gut Fähigkeiten eines Berufes auf andere übertragbar sind.
Capability floor	The institutional adaptive-capacity threshold below which a country cannot routinely absorb labour-market shocks; 12 countries breach the floor at 2-digit ESCO.	Die untere Grenze, ab der Institutionen Krisen nicht mehr verkraften.
